,a.data.Name,coords.x1,coords.x2
395,Ephron,35.299135,31.953789
396,Ephron~,35.042407,31.675746
397,Erech,45.636111,32.322222
398,Esau>,35.60625,30.734691
399,Esek~,34.56057,31.391291
400,Eshan,35.033537,31.420175
401,Eshtaol,35.009012,31.782429
402,Eshtemoa,35.074552,31.373521
403,Eshtemoh,35.074552,31.373521
404,Etam,35.17474,31.686465
405,Etam,35.05485,31.736294
406,Etam~,34.860665,31.370835
407,Eth-kazin~,35.321364,32.781808
408,Etham,32.282767,30.467511
409,Ether~,34.9365,31.8099
410,Ethiopia>,31.343557,21.959788
411,Euphrates,40.42778,35.090577
412,Ezem~,35.733402,32.049953
413,Ezion-geber,35.030601,29.758043
416,Fish Gate<,35.234935,31.777444
418,Fountain Gate<,35.234935,31.777444
419,Gaash~,35.150392,32.121473
422,Galeed,36.005559,32.565267
423,Galilee>,35.301528,32.706745
424,Gallim,35.25,31.816667
425,Gamad~,35.858485,34.856082
426,Gareb<,35.234935,31.777444
427,Gate of Benjamin<,35.234935,31.777444
428,Gate of Ephraim<,35.234935,31.777444
429,Gate of Yeshanah<,35.234935,31.777444
430,Gate of the Foundation<,35.234935,31.777444
431,Gate of the Guard<,35.234935,31.777444
432,Gath,34.843882,31.693529
433,Gath-hepher,35.328226,32.739184
434,Gath-rimmon,34.883055,32.069722
435,Gath-rimmon,35.2833,32.45
436,Gaza,34.433364,31.524817
437,Geba,35.184912,31.846847
438,Geba,35.259755,31.857878
439,Gebal,35.646141,34.119103
440,Gebim,35.25,31.8
441,Geder,35.083333,31.63333
442,Gederah,34.777779,31.823337
443,Gederothaim~,34.777779,31.823337
444,Gederoth~,34.777779,31.823337
445,Gedor,35.083333,31.63333
446,Gedor~,34.777779,31.823337
447,Geliloth,35.518546,31.863783
449,Gerar,34.56057,31.391291
450,Geruth Chimham~,35.210266,31.705361
451,Geshur,36.41667,33
453,Gezer,34.9225,31.876111
454,Giah~,35.343177,31.869005
455,Gibbethon,35.004896,31.976623
456,Gibeah,35.231009,31.823781
457,Gibeah~,35.133331,31.433331
458,Gibeath-elohim~,35.221032,31.930539
459,Gibeath-haaraloth,35.518546,31.863783
460,Gibeon,35.184912,31.846847
461,Gidom~,35.297063,31.93466
462,Gihon,35.237186,31.773116
463,Gilboa,35.4,32.516667
464,Gilead>,35.724241,32.042523
465,Gilgal,35.518546,31.863783
466,Gilgal,35.222604,32.029737
467,Gilo,35.083333,31.616667
468,Giloh,35.083333,31.616667
469,Gimzo,34.943219,31.928659
470,Gittaim~,34.952536,31.963575
471,Goah<,35.234935,31.777444
472,Gob,34.9225,31.876111
474,Golan,35.937301,32.800075
476,Gomorrah,35.473954,31.157248
477,Goshen,31.804692,30.728501
478,Goshen,34.916667,31.45
479,Gozan,40.06889,36.840013
480,Great Sea>,33.47,33.24
481,Great Sidon,35.366346,33.563167
482,Greece>,23.733333,37.983333
483,Gudgodah?,35.19027,30.358285
484,Gurbaal~,35.60625,30.734691
485,Gur~,35.2833,32.45
486,Habor,40.789333,36.344972
487,Hachilah,35.216691,31.466604
488,Hadad-rimmon,35.205136,32.524106
489,Hadashah,34.695903,31.679512
490,Hadid,34.952536,31.963575
491,Hadrach~,36.313449,33.519299
492,Haeleph,35.196862,31.792733
493,Hahiroth?,32.425144,29.94658
494,Hakkephirim,34.866666,32.022222
495,Halah~,40.789333,36.344972
496,Halhul,35.099103,31.579549
497,Hali~,35.270799,32.934736
498,Hall of Judgment<,35.234935,31.777444
499,Hall of Pillars<,35.234935,31.777444
500,Hall of the Throne<,35.234935,31.777444
501,Ham,35.924131,31.950188
502,Ham 2>,31.33822,30.108086
503,Ham>,31.33822,30.108086
504,Hamath,36.749488,35.136204
505,Hamath-zobah,36.749488,35.136204
506,Hammath,35.165,33.125828
507,Hammon,35.165,33.125828
508,Hammoth-dor,35.165,33.125828
509,Hamonah~,35.782841,31.496845
510,Hanes,30.934402,29.085425
511,Hannathon,35.426637,32.916002
512,Hapharaim,35.288264,32.608682
513,Haradah~,35.407152,30.317396
514,Haran,39.032196,36.863864
515,Hara~,40.789333,36.344972
516,Harmon~,35.197929,32.280231
517,Harod,35.355647,32.549638
518,Harosheth-hagoyim,35.110039,32.691177
519,Hashmonah~,35.407152,30.317396
520,Hauran>,35.937301,32.800075
521,Havilah 2>,35.22,30.14
522,Havilah>,35.22,30.14
523,Havvoth-jair~,35.724241,32.042523
524,Hazar-addar~,34.7187,30.9522
525,Hazar-enan,37.240077,34.229499
526,Hazar-gaddah~,35.057114,31.162327
527,Hazar-shual,34.942986,31.215418
528,Hazar-susah~,34.940502,31.391668
529,Hazar-susim~,34.940502,31.391668
530,Hazazon-tamar,35.392411,31.461525
531,Hazer-hatticon~,36.749488,35.136204
532,Hazeroth,34.5,28.916667
533,Hazor,35.568048,33.017181
534,Hazor-hadattah~,35.057114,31.162327
535,Hazor~,34.494795,30.687712
536,Hazor~,35.057114,31.162327
537,Hazor~,35.2,31.833333
538,Hebron,35.094099,31.535773
539,Helam~,35.70287,32.184372
540,Helbah~,35.865801,34.066067
541,Helbon,36.248576,33.664912
542,Helech~,35.858485,34.856082
543,Heleph,35.332157,33.134416
544,Heliopolis,31.33822,30.108086
545,Helkath,35.211971,32.955448
546,Helkath-hazzurim,35.280188,31.880126
547,Hena,41.964955,34.467725
548,Hepher,34.8833,32.3667
549,Heres~,35.633313,32.199982
550,Hereth,35.029273,31.621492
551,Hermon,35.857256,33.416159
552,Heshbon,35.809018,31.80052
553,Heshmon~,34.942986,31.215418
554,Hethlon,36.340918,34.73799
555,Hezron,35.568048,33.017181
557,Hilen,34.95,31.583333
558,Hobah,36.466667,33.5
559,Holon,34.95,31.583333
560,Holon~,35.920631,31.501003
561,Holy Place 2<,35.234935,31.777444
562,Holy Place<,35.234935,31.777444
563,Hor-haggidgad?,35.19027,30.358285
564,Horeb,33.973333,28.539722
565,Horem,35.433333,33.166667
566,Horesh,35.088403,31.451139
567,Hormah,34.63062,30.880918
568,Horonaim,35.515,31.288056
569,Horse Gate<,35.234935,31.777444
570,Hosah,35.22758,32.178502
571,House of the Forest of Lebanon<,35.234935,31.777444
572,House of the Forest<,35.234935,31.777444
573,Hukkok,35.496694,32.882153
574,Hukok,35.211971,32.955448
575,Humtah~,35.094099,31.535773
576,Ibleam,35.2833,32.45
578,Idalah,35.166667,32.733333
580,Iim~,35.733402,32.049953
581,Ijon,35.611875,33.328044
583,Immer~,43.152887,36.35941
584,India>,77,22
585,Iphtah~,34.9365,31.8099
586,Ir-shemesh,34.976609,31.752748
587,Irpeel,35.197712,31.869343
589,Ithlah,35.075769,31.823593
590,Ithnan~,35.733402,32.049953
592,Ivvah~,41.964955,34.467725
593,Iye-abarim~,35.782841,31.496845
594,Iyim~,35.782841,31.496845
595,Jaar?,34.993812,31.771104
596,Jabbok,35.676305,32.193237
597,Jabesh,35.611587,32.379821
598,Jabesh-gilead,35.611587,32.379821
599,Jabez~,35.210266,31.705361
600,Jabneel,34.746856,31.865518
601,Jabneel,35.5,32.7
602,Jabneh,34.746856,31.865518
603,Jagur~,34.96745,31.1858
604,Jahaz,35.920631,31.501003
605,Jahzah,35.920631,31.501003
606,Jair~,35.724241,32.042523
607,Janim,35.166667,31.516667
